19-1-6 22:14:26.4|Info|UpdateApp|Starting Radarr Update Client
19-1-6 22:14:27.2|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/NzbDrone.Common.dll.mdb for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.2|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/NzbDrone.Mono.dll] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/NzbDrone.Mono.dll]
19-1-6 22:14:27.2|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/NzbDrone.Mono.dll for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.2|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/NzbDrone.Mono.dll.mdb] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/NzbDrone.Mono.dll.mdb]
19-1-6 22:14:27.2|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/NzbDrone.Mono.dll.mdb for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.2|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/Org.Mentalis.dll] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/Org.Mentalis.dll]
19-1-6 22:14:27.2|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/Org.Mentalis.dll for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.2|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/Radarr.Update.exe] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/Radarr.Update.exe]
19-1-6 22:14:27.2|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/Radarr.Update.exe for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.2|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/Radarr.Update.exe.config] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/Radarr.Update.exe.config]
19-1-6 22:14:27.2|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/Radarr.Update.exe.config for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.2|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/Radarr.Update.exe.mdb] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/Radarr.Update.exe.mdb]
19-1-6 22:14:27.2|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/Radarr.Update.exe.mdb for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.2|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/SocksWebProxy.dll] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/SocksWebProxy.dll]
19-1-6 22:14:27.3|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/SocksWebProxy.dll for symlink returned error ENOENT, assuming it's not a symlink.
19-1-6 22:14:27.3|Debug|DiskTransferService|Mirror [/opt/radarr/UI] > [/tmp/radarr_update/radarr_backup/UI]
19-1-6 22:14:27.3|Debug|DiskTransferService|Mirror [/opt/radarr/UI/Content] > [/tmp/radarr_update/radarr_backup/UI/Content]
19-1-6 22:14:27.3|Debug|DiskTransferService|Mirror [/opt/radarr/UI/Content/FontAwesome] > [/tmp/radarr_update/radarr_backup/UI/Content/FontAwesome]
19-1-6 22:14:27.3|Debug|DiskTransferService|Copy [/opt/radarr/UI/Content/FontAwesome/FontAwesome.otf] > [/tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/FontAwesome.otf]
19-1-6 22:14:27.3|Trace|SymbLinkResolver|Checking path /tmp/radarr_update/radarr_backup/UI/Content/FontAwesome/FontAwesome.otf for symlink returned error ENOENT, assuming it's not a symlink.
